REFERENCE_ID,SPATH
A19,Polarimetric/A19_R3_B_S0_f01.jpg
A19,Polarimetric/A19_R3_B_S0_f02.jpg
A19,Polarimetric/A19_R3_B_S0_f03.jpg
A19,Polarimetric/A19_R3_B_S0_f04.jpg
A12,Polarimetric/A12_R3_E_S0_f01.jpg
A12,Polarimetric/A12_R3_E_S0_f02.jpg
A12,Polarimetric/A12_R3_E_S0_f03.jpg
A12,Polarimetric/A12_R3_E_S0_f04.jpg
A12,Polarimetric/A12_R3_E_S0_f05.jpg
A12,Polarimetric/A12_R3_E_S0_f06.jpg
A12,Polarimetric/A12_R3_E_S0_f07.jpg
A12,Polarimetric/A12_R3_E_S0_f08.jpg
A12,Polarimetric/A12_R3_E_S0_f09.jpg
A12,Polarimetric/A12_R3_E_S0_f10.jpg
A12,Polarimetric/A12_R3_E_S0_f11.jpg
A12,Polarimetric/A12_R3_E_S0_f12.jpg
A44,Polarimetric/A44_R1_B_S0_f01.jpg
A44,Polarimetric/A44_R1_B_S0_f02.jpg
A44,Polarimetric/A44_R1_B_S0_f03.jpg
A44,Polarimetric/A44_R1_B_S0_f04.jpg
A59,Polarimetric/A59_R3_B_S0_f01.jpg
A59,Polarimetric/A59_R3_B_S0_f02.jpg
A59,Polarimetric/A59_R3_B_S0_f03.jpg
A59,Polarimetric/A59_R3_B_S0_f04.jpg
A46,Polarimetric/A46_R1_B_S0_f01.jpg
A46,Polarimetric/A46_R1_B_S0_f02.jpg
A46,Polarimetric/A46_R1_B_S0_f03.jpg
A46,Polarimetric/A46_R1_B_S0_f04.jpg
A42,Polarimetric/A42_R1_E_S0_f01.jpg
A42,Polarimetric/A42_R1_E_S0_f02.jpg
A42,Polarimetric/A42_R1_E_S0_f03.jpg
A42,Polarimetric/A42_R1_E_S0_f04.jpg
A42,Polarimetric/A42_R1_E_S0_f05.jpg
A42,Polarimetric/A42_R1_E_S0_f06.jpg
A42,Polarimetric/A42_R1_E_S0_f07.jpg
A42,Polarimetric/A42_R1_E_S0_f08.jpg
A42,Polarimetric/A42_R1_E_S0_f09.jpg
A42,Polarimetric/A42_R3_E_S0_f01.jpg
A42,Polarimetric/A42_R3_E_S0_f02.jpg
A42,Polarimetric/A42_R3_E_S0_f03.jpg
A42,Polarimetric/A42_R3_E_S0_f04.jpg
A42,Polarimetric/A42_R3_E_S0_f05.jpg
A42,Polarimetric/A42_R3_E_S0_f06.jpg
A42,Polarimetric/A42_R3_E_S0_f07.jpg
A42,Polarimetric/A42_R3_E_S0_f08.jpg
A42,Polarimetric/A42_R3_E_S0_f09.jpg
A42,Polarimetric/A42_R3_E_S0_f10.jpg
A42,Polarimetric/A42_R3_E_S0_f11.jpg
A42,Polarimetric/A42_R3_E_S0_f12.jpg
A53,Polarimetric/A53_R3_E_S0_f02.jpg
A53,Polarimetric/A53_R3_E_S0_f03.jpg
A53,Polarimetric/A53_R3_E_S0_f04.jpg
A53,Polarimetric/A53_R3_E_S0_f05.jpg
A53,Polarimetric/A53_R3_E_S0_f06.jpg
A53,Polarimetric/A53_R3_E_S0_f07.jpg
A53,Polarimetric/A53_R3_E_S0_f08.jpg
A53,Polarimetric/A53_R3_E_S0_f09.jpg
A53,Polarimetric/A53_R3_E_S0_f10.jpg
A53,Polarimetric/A53_R3_E_S0_f11.jpg
A53,Polarimetric/A53_R3_E_S0_f12.jpg
A49,Polarimetric/A49_R2_E_S0_f01.jpg
A49,Polarimetric/A49_R2_E_S0_f02.jpg
A49,Polarimetric/A49_R2_E_S0_f03.jpg
A49,Polarimetric/A49_R2_E_S0_f04.jpg
A49,Polarimetric/A49_R2_E_S0_f05.jpg
A49,Polarimetric/A49_R2_E_S0_f06.jpg
A49,Polarimetric/A49_R2_E_S0_f07.jpg
A49,Polarimetric/A49_R2_E_S0_f08.jpg
A49,Polarimetric/A49_R2_E_S0_f09.jpg
A49,Polarimetric/A49_R2_E_S0_f10.jpg
A49,Polarimetric/A49_R2_E_S0_f11.jpg
A49,Polarimetric/A49_R2_E_S0_f12.jpg
A26,Polarimetric/A26_R1_E_S0_f12.jpg
A33,Polarimetric/A33_R3_B_S0_f01.jpg
A33,Polarimetric/A33_R3_B_S0_f02.jpg
A33,Polarimetric/A33_R3_B_S0_f03.jpg
A33,Polarimetric/A33_R3_B_S0_f04.jpg
A36,Polarimetric/A36_R3_E_S0_f11.jpg
A36,Polarimetric/A36_R3_E_S0_f12.jpg
A59,Polarimetric/A59_R1_E_S0_f01.jpg
A59,Polarimetric/A59_R1_E_S0_f02.jpg
A59,Polarimetric/A59_R1_E_S0_f03.jpg
A59,Polarimetric/A59_R1_E_S0_f04.jpg
A59,Polarimetric/A59_R1_E_S0_f05.jpg
A59,Polarimetric/A59_R1_E_S0_f06.jpg
A18,Polarimetric/A18_R2_B_S0_f01.jpg
A18,Polarimetric/A18_R2_B_S0_f02.jpg
A58,Polarimetric/A58_R3_B_S0_f01.jpg
A58,Polarimetric/A58_R3_B_S0_f02.jpg
A58,Polarimetric/A58_R3_B_S0_f03.jpg
A58,Polarimetric/A58_R3_B_S0_f04.jpg
A03,Polarimetric/A03_R1_B_S0_f01.jpg
A03,Polarimetric/A03_R1_B_S0_f02.jpg
A03,Polarimetric/A03_R1_B_S0_f03.jpg
A03,Polarimetric/A03_R1_B_S0_f04.jpg
A20,Polarimetric/A20_R1_B_S0_f01.jpg
A20,Polarimetric/A20_R1_B_S0_f02.jpg
A20,Polarimetric/A20_R1_B_S0_f03.jpg
A20,Polarimetric/A20_R1_B_S0_f04.jpg
A14,Polarimetric/A14_R3_E_S0_f10.jpg
A14,Polarimetric/A14_R3_E_S0_f11.jpg
A14,Polarimetric/A14_R3_E_S0_f12.jpg
A20,Polarimetric/A20_R2_E_S0_f01.jpg
A20,Polarimetric/A20_R2_E_S0_f02.jpg
A20,Polarimetric/A20_R2_E_S0_f03.jpg
A20,Polarimetric/A20_R2_E_S0_f04.jpg
A20,Polarimetric/A20_R2_E_S0_f05.jpg
A20,Polarimetric/A20_R2_E_S0_f06.jpg
A20,Polarimetric/A20_R2_E_S0_f07.jpg
A20,Polarimetric/A20_R2_E_S0_f08.jpg
A20,Polarimetric/A20_R2_E_S0_f09.jpg
A20,Polarimetric/A20_R2_E_S0_f10.jpg
A20,Polarimetric/A20_R2_E_S0_f11.jpg
A20,Polarimetric/A20_R2_E_S0_f12.jpg
A28,Polarimetric/A28_R1_E_S0_f01.jpg
A28,Polarimetric/A28_R1_E_S0_f02.jpg
A28,Polarimetric/A28_R1_E_S0_f03.jpg
A28,Polarimetric/A28_R1_E_S0_f04.jpg
A28,Polarimetric/A28_R1_E_S0_f05.jpg
A58,Polarimetric/A58_R3_E_S0_f01.jpg
A58,Polarimetric/A58_R3_E_S0_f02.jpg
A58,Polarimetric/A58_R3_E_S0_f03.jpg
A58,Polarimetric/A58_R3_E_S0_f04.jpg
A58,Polarimetric/A58_R3_E_S0_f05.jpg
A58,Polarimetric/A58_R3_E_S0_f06.jpg
A58,Polarimetric/A58_R3_E_S0_f07.jpg
A33,Polarimetric/A33_R2_E_S0_f01.jpg
A33,Polarimetric/A33_R2_E_S0_f02.jpg
A33,Polarimetric/A33_R2_E_S0_f03.jpg
A33,Polarimetric/A33_R2_E_S0_f04.jpg
A33,Polarimetric/A33_R2_E_S0_f05.jpg
A33,Polarimetric/A33_R2_E_S0_f06.jpg
A33,Polarimetric/A33_R2_E_S0_f07.jpg
A33,Polarimetric/A33_R2_E_S0_f08.jpg
A33,Polarimetric/A33_R2_E_S0_f09.jpg
A33,Polarimetric/A33_R2_E_S0_f10.jpg
A02,Polarimetric/A02_R3_E_S0_f10.jpg
A02,Polarimetric/A02_R3_E_S0_f11.jpg
A02,Polarimetric/A02_R3_E_S0_f12.jpg
A53,Polarimetric/A53_R1_E_S0_f01.jpg
A53,Polarimetric/A53_R1_E_S0_f02.jpg
A53,Polarimetric/A53_R1_E_S0_f03.jpg
A01,Polarimetric/A01_R1_B_S0_f01.jpg
A01,Polarimetric/A01_R1_B_S0_f02.jpg
A01,Polarimetric/A01_R1_B_S0_f03.jpg
A01,Polarimetric/A01_R1_B_S0_f04.jpg
A48,Polarimetric/A48_R3_E_S0_f06.jpg
A48,Polarimetric/A48_R3_E_S0_f07.jpg
A48,Polarimetric/A48_R3_E_S0_f08.jpg
A48,Polarimetric/A48_R3_E_S0_f09.jpg
A48,Polarimetric/A48_R3_E_S0_f10.jpg
A48,Polarimetric/A48_R3_E_S0_f11.jpg
A48,Polarimetric/A48_R3_E_S0_f12.jpg
A07,Polarimetric/A07_R3_B_S0_f04.jpg
A53,Polarimetric/A53_R1_E_S0_f04.jpg
A53,Polarimetric/A53_R1_E_S0_f05.jpg
A53,Polarimetric/A53_R1_E_S0_f06.jpg
A53,Polarimetric/A53_R1_E_S0_f07.jpg
A53,Polarimetric/A53_R1_E_S0_f08.jpg
A53,Polarimetric/A53_R1_E_S0_f09.jpg
A53,Polarimetric/A53_R1_E_S0_f10.jpg
A53,Polarimetric/A53_R1_E_S0_f11.jpg
A53,Polarimetric/A53_R1_E_S0_f12.jpg
A39,Polarimetric/A39_R1_E_S0_f04.jpg
A39,Polarimetric/A39_R1_E_S0_f05.jpg
A39,Polarimetric/A39_R1_E_S0_f06.jpg
A39,Polarimetric/A39_R1_E_S0_f07.jpg
A39,Polarimetric/A39_R1_E_S0_f08.jpg
A39,Polarimetric/A39_R1_E_S0_f09.jpg
A39,Polarimetric/A39_R1_E_S0_f10.jpg
A39,Polarimetric/A39_R1_E_S0_f11.jpg
